data_hora,entrada_id_raw,entrada_prazo_raw,entrada_taxa_raw,entrada_produto_raw,entrada_convenio_raw,saida_produto,saida_convenio,saida_familia,saida_grupo,confianca,aprovado,corrigido_para
2025-12-11T22:12:57.482290,2945,96,1.75,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 1.75%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 1.75%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.485282,2946,96,1.96,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 1.96%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 1.96%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.488282,2947,96,1.99,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 1.99%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 1.99%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.491281,2948,96,2.09,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.09%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.09%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.495291,2949,96,2.19,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.19%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.19%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.498286,2950,96,2.29,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.29%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.29%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.502676,2951,96,2.39,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.39%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.39%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.505876,2952,96,2.5,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.50%,Gov. SP,COMBO - GOV SP - SPPREV - PORT 1.53% A 2.50% - REFIN 2.50%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.509878,2953,96,1.7,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.70%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.70%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.515376,2954,96,1.74,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.74%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.74%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.520085,2955,96,1.76,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.76%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.76%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.522234,2956,96,1.8,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.80%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 1.80%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.522234,2957,96,2,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 2.00%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 2.00%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.533070,2958,96,2.25,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 2.25%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 2.25%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.537067,2959,96,2.5,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 2.50%,Gov. TO,COMBO - GOV TOCANTINS - PORT 1.50% A 2.50% - REFIN 2.50%,Gov. TO,,,0.3,,
2025-12-11T22:12:57.541072,2960,120,1.69,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.69%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.69%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.544069,2961,120,1.79,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.79%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.79%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.549072,2962,120,1.89,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.89%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.89%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.553070,1811,96,2,EMPRÉSTIMO - GOVERNO DO RIO DE JANEIRO - 2.00%,Gov. RJ,EMPRÉSTIMO - GOVERNO DO RIO DE JANEIRO - 2.00%,Gov. RJ,,,0.3,,
2025-12-11T22:12:57.558068,1864,96,2,EMPRÉSTIMO - GOV PIAUÍ - 2.00%,Gov. PI,EMPRÉSTIMO - GOV PIAUÍ - 2.00%,Gov. PI,,,0.3,,
2025-12-11T22:12:57.563173,1861,12,5,CARTÃO BENEFÍCIO - GOV GOIAS - 5.00%,Gov. GO,CARTÃO BENEFÍCIO - GOV GOIAS - 5.00%,Gov. GO,,,0.3,,
2025-12-11T22:12:57.563173,1861,24,5,CARTÃO BENEFÍCIO - GOV GOIAS - 5.00%,Gov. GO,CARTÃO BENEFÍCIO - GOV GOIAS - 5.00%,Gov. GO,,,0.3,,
2025-12-11T22:12:57.573488,1861,36,5,CARTÃO BENEFÍCIO - GOV GOIAS - 5.00%,Gov. GO,CARTÃO BENEFÍCIO - GOV GOIAS - 5.00%,Gov. GO,,,0.3,,
2025-12-11T22:12:57.573488,2963,120,1.99,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.99%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 1.99%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.583714,2964,120,2.09,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.09%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.09%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.587719,2965,120,2.19,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.19%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.19%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.591716,2966,120,2.29,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.29%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.29%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.594718,2967,120,2.39,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.39%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.39%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.598716,2968,120,2.49,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.49%,PREF. SP,COMBO - PREF SP - PORT 1.50% A 2.49% - REFIN 2.49%,PREF. SP,,,0.3,,
2025-12-11T22:12:57.602716,2648,120,1.9,REFIN PORT - GOV ACRE - 1.90%,Gov. AC,REFIN PORT - GOV ACRE - 1.90%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.606717,2649,120,1.95,REFIN PORT - GOV ACRE - 1.95%,Gov. AC,REFIN PORT - GOV ACRE - 1.95%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.609718,2650,120,2,REFIN PORT - GOV ACRE - 2.00%,Gov. AC,REFIN PORT - GOV ACRE - 2.00%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.614245,2651,120,2.1,REFIN PORT - GOV ACRE - 2.10%,Gov. AC,REFIN PORT - GOV ACRE - 2.10%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.618194,2652,120,2.2,REFIN PORT - GOV ACRE - 2.20%,Gov. AC,REFIN PORT - GOV ACRE - 2.20%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.622200,2653,120,2.3,REFIN PORT - GOV ACRE - 2.30%,Gov. AC,REFIN PORT - GOV ACRE - 2.30%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.627051,2654,120,2.4,REFIN PORT - GOV ACRE - 2.40%,Gov. AC,REFIN PORT - GOV ACRE - 2.40%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.632225,2655,120,2.5,REFIN PORT - GOV ACRE - 2.50%,Gov. AC,REFIN PORT - GOV ACRE - 2.50%,Gov. AC,,,0.3,,
2025-12-11T22:12:57.634404,2664,120,1.93,REFIN PORT - GOV AMAZONAS - 1.93%,Gov. AM,REFIN PORT - GOV AMAZONAS - 1.93%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.634404,2665,120,1.98,REFIN PORT - GOV AMAZONAS - 1.98%,Gov. AM,REFIN PORT - GOV AMAZONAS - 1.98%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.644740,2666,120,2,REFIN PORT - GOV AMAZONAS - 2.00%,Gov. AM,REFIN PORT - GOV AMAZONAS - 2.00%,Gov. AM,,,0.3,,
2025-12-11T22:12:57.649312,2794,96,2.19,REFIN PORT - GOV SP - PMSP - 2.19%,Gov. SP,REFIN PORT - GOV SP - PMSP - 2.19%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.652315,2795,96,2.29,REFIN PORT - GOV SP - PMSP - 2.29%,Gov. SP,REFIN PORT - GOV SP - PMSP - 2.29%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.656316,2796,96,2.39,REFIN PORT - GOV SP - PMSP - 2.39%,Gov. SP,REFIN PORT - GOV SP - PMSP - 2.39%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.660314,2797,96,2.5,REFIN PORT - GOV SP - PMSP - 2.50%,Gov. SP,REFIN PORT - GOV SP - PMSP - 2.50%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.663476,2852,96,2.28,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.28%,GOV SP - SEC EDUCACAO,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.28%,GOV SP - SEC EDUCACAO,,,0.3,,
2025-12-11T22:12:57.668500,2853,96,2.38,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.38%,GOV SP - SEC EDUCACAO,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.38%,GOV SP - SEC EDUCACAO,,,0.3,,
2025-12-11T22:12:57.672498,2854,96,2.45,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.45%,GOV SP - SEC EDUCACAO,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.45%,GOV SP - SEC EDUCACAO,,,0.3,,
2025-12-11T22:12:57.675497,2855,96,2.5,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.50%,GOV SP - SEC EDUCACAO,REFIN PORT - GOV SP - SEC EDUCAÇÃO - 2.50%,GOV SP - SEC EDUCACAO,,,0.3,,
2025-12-11T22:12:57.680517,2798,96,1.64,REFIN PORT - GOV SP - SEFAZ - 1.64%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 1.64%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.683723,2799,96,1.75,REFIN PORT - GOV SP - SEFAZ - 1.75%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 1.75%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.685884,2800,96,1.96,REFIN PORT - GOV SP - SEFAZ - 1.96%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 1.96%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.685884,2801,96,1.99,REFIN PORT - GOV SP - SEFAZ - 1.99%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 1.99%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.697003,2802,96,2.09,REFIN PORT - GOV SP - SEFAZ - 2.09%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 2.09%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.697003,2803,96,2.19,REFIN PORT - GOV SP - SEFAZ - 2.19%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 2.19%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.704657,2804,96,2.29,REFIN PORT - GOV SP - SEFAZ - 2.29%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 2.29%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.706821,2805,96,2.39,REFIN PORT - GOV SP - SEFAZ - 2.39%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 2.39%,Gov. SP,,,0.3,,
2025-12-11T22:12:57.715908,2806,96,2.5,REFIN PORT - GOV SP - SEFAZ - 2.50%,Gov. SP,REFIN PORT - GOV SP - SEFAZ - 2.50%,Gov. SP,,,0.3,,
